Iteracao,Prob_Manter,Prob_Trocar
674,0.308605,0.691395
675,0.308148,0.691852
676,0.309172,0.690828
677,0.308715,0.691285
678,0.308260,0.691740
679,0.307806,0.692194
680,0.308824,0.691176
681,0.308370,0.691630
682,0.307918,0.692082
683,0.308931,0.691069
684,0.309942,0.690058
685,0.309489,0.690511
686,0.310496,0.689504
687,0.310044,0.689956
688,0.309593,0.690407
689,0.309144,0.690856
690,0.310145,0.689855
691,0.309696,0.690304
692,0.309249,0.690751
693,0.308802,0.691198
694,0.308357,0.691643
695,0.307914,0.692086
696,0.307471,0.692529
697,0.308465,0.691535
698,0.308023,0.691977
699,0.307582,0.692418
700,0.307143,0.692857
701,0.306705,0.693295
702,0.306268,0.693732
703,0.305832,0.694168
704,0.305398,0.694602
705,0.304965,0.695035
706,0.304533,0.695467
707,0.304102,0.695898
708,0.303672,0.696328
709,0.304654,0.695346
710,0.304225,0.695775
711,0.305204,0.694796
712,0.306180,0.693820
713,0.305750,0.694250
714,0.305322,0.694678
715,0.304895,0.695105
716,0.304469,0.695531
717,0.305439,0.694561
718,0.305014,0.694986
719,0.305981,0.694019
720,0.305556,0.694444
721,0.305132,0.694868
722,0.306094,0.693906
723,0.307054,0.692946
724,0.308011,0.691989
725,0.307586,0.692414
726,0.307163,0.692837
727,0.306740,0.693260
728,0.306319,0.693681
729,0.307270,0.692730
730,0.306849,0.693151
731,0.307798,0.692202
732,0.308743,0.691257
733,0.308322,0.691678
734,0.309264,0.690736
735,0.308844,0.691156
736,0.308424,0.691576
737,0.308005,0.691995
738,0.307588,0.692412
739,0.307172,0.692828
740,0.308108,0.691892
741,0.307692,0.692308
742,0.307278,0.692722
743,0.306864,0.693136
744,0.306452,0.693548
745,0.306040,0.693960
746,0.305630,0.694370
747,0.305221,0.694779
748,0.304813,0.695187
749,0.305741,0.694259
750,0.305333,0.694667
751,0.306258,0.693742
752,0.305851,0.694149
753,0.305445,0.694555
754,0.305040,0.694960
755,0.304636,0.695364
756,0.304233,0.695767
757,0.303831,0.696169
758,0.304749,0.695251
759,0.304348,0.695652
760,0.305263,0.694737
761,0.306176,0.693824
762,0.305774,0.694226
763,0.306684,0.693316
764,0.307592,0.692408
765,0.307190,0.692810
766,0.306789,0.693211
767,0.306389,0.693611
768,0.307292,0.692708
769,0.306892,0.693108
770,0.306494,0.693506
771,0.306096,0.693904
772,0.305699,0.694301
773,0.306598,0.693402
774,0.306202,0.693798
775,0.305806,0.694194
776,0.306701,0.693299
777,0.306306,0.693694
778,0.307198,0.692802
779,0.306804,0.693196
780,0.306410,0.693590
781,0.306018,0.693982
782,0.305627,0.694373
783,0.306513,0.693487
784,0.307398,0.692602
785,0.308280,0.691720
786,0.307888,0.692112
787,0.307497,0.692503
788,0.307107,0.692893
789,0.306717,0.693283
790,0.307595,0.692405
791,0.307206,0.692794
792,0.306818,0.693182
793,0.306431,0.693569
794,0.306045,0.693955
795,0.305660,0.694340
796,0.305276,0.694724
797,0.304893,0.695107
798,0.305764,0.694236
799,0.306633,0.693367
800,0.306250,0.693750
801,0.307116,0.692884
802,0.307980,0.692020
803,0.307597,0.692403
804,0.308458,0.691542
805,0.308075,0.691925
806,0.307692,0.692308
807,0.308550,0.691450
808,0.308168,0.691832
809,0.309023,0.690977
810,0.308642,0.691358
811,0.308261,0.691739
812,0.309113,0.690887
813,0.308733,0.691267
814,0.308354,0.691646
815,0.309202,0.690798
816,0.308824,0.691176
817,0.308446,0.691554
818,0.309291,0.690709
819,0.308913,0.691087
820,0.308537,0.691463
821,0.308161,0.691839
822,0.307786,0.692214
823,0.307412,0.692588
824,0.308252,0.691748
825,0.307879,0.692121
826,0.308717,0.691283
827,0.309553,0.690447
828,0.309179,0.690821
829,0.310012,0.689988
830,0.310843,0.689157
831,0.310469,0.689531
832,0.310096,0.689904
833,0.310924,0.689076
834,0.310552,0.689448
835,0.310180,0.689820
836,0.309809,0.690191
837,0.309438,0.690562
838,0.310263,0.689737
839,0.311085,0.688915
840,0.310714,0.689286
841,0.310345,0.689655
842,0.309976,0.690024
843,0.309609,0.690391
844,0.309242,0.690758
845,0.310059,0.689941
846,0.309693,0.690307
847,0.309327,0.690673
848,0.308962,0.691038
849,0.309776,0.690224
850,0.310588,0.689412
851,0.310223,0.689777
852,0.311033,0.688967
853,0.311841,0.688159
854,0.311475,0.688525
855,0.311111,0.688889
856,0.311916,0.688084
857,0.312719,0.687281
858,0.313520,0.686480
859,0.313155,0.686845
860,0.313953,0.686047
861,0.314750,0.685250
862,0.315545,0.684455
863,0.316338,0.683662
864,0.317130,0.682870
865,0.317919,0.682081
866,0.317552,0.682448
867,0.318339,0.681661
868,0.317972,0.682028
869,0.317606,0.682394
870,0.317241,0.682759
871,0.318025,0.681975
872,0.318807,0.681193
873,0.318442,0.681558
874,0.318078,0.681922
875,0.318857,0.681143
876,0.319635,0.680365
877,0.320410,0.679590
878,0.320046,0.679954
879,0.320819,0.679181
880,0.320455,0.679545
881,0.320091,0.679909
882,0.319728,0.680272
883,0.319366,0.680634
884,0.319005,0.680995
885,0.318644,0.681356
886,0.319413,0.680587
887,0.319053,0.680947
888,0.318694,0.681306
889,0.318335,0.681665
890,0.317978,0.682022
891,0.318743,0.681257
892,0.319507,0.680493
893,0.319149,0.680851
894,0.318792,0.681208
895,0.318436,0.681564
896,0.319196,0.680804
897,0.318841,0.681159
898,0.319599,0.680401
899,0.320356,0.679644
900,0.320000,0.680000
901,0.319645,0.680355
902,0.320399,0.679601
903,0.320044,0.679956
904,0.320796,0.679204
905,0.321547,0.678453
906,0.322296,0.677704
907,0.323043,0.676957
908,0.323789,0.676211
909,0.323432,0.676568
910,0.324176,0.675824
911,0.323820,0.676180
912,0.324561,0.675439
913,0.324206,0.675794
914,0.323851,0.676149
915,0.324590,0.675410
916,0.324236,0.675764
917,0.324973,0.675027
918,0.324619,0.675381
919,0.324266,0.675734
920,0.325000,0.675000
921,0.325733,0.674267
922,0.325380,0.674620
923,0.326111,0.673889
924,0.325758,0.674242
925,0.326486,0.673514
926,0.326134,0.673866
927,0.326861,0.673139
928,0.326509,0.673491
929,0.326157,0.673843
930,0.325806,0.674194
931,0.325456,0.674544
932,0.325107,0.674893
933,0.325831,0.674169
934,0.325482,0.674518
935,0.325134,0.674866
936,0.324786,0.675214
937,0.324440,0.675560
938,0.324094,0.675906
939,0.323749,0.676251
940,0.324468,0.675532
941,0.325186,0.674814
942,0.324841,0.675159
943,0.325557,0.674443
944,0.326271,0.673729
945,0.325926,0.674074
946,0.326638,0.673362
947,0.326294,0.673706
948,0.327004,0.672996
949,0.327713,0.672287
950,0.327368,0.672632
951,0.327024,0.672976
952,0.326681,0.673319
953,0.326338,0.673662
954,0.325996,0.674004
955,0.325654,0.674346
956,0.326360,0.673640
957,0.327064,0.672936
958,0.327766,0.672234
959,0.327424,0.672576
960,0.328125,0.671875
961,0.327784,0.672216
962,0.327443,0.672557
963,0.327103,0.672897
964,0.327801,0.672199
965,0.327461,0.672539
966,0.327122,0.672878
967,0.327818,0.672182
968,0.328512,0.671488
969,0.329205,0.670795
970,0.328866,0.671134
971,0.328527,0.671473
972,0.329218,0.670782
973,0.329908,0.670092
974,0.329569,0.670431
975,0.329231,0.670769
976,0.329918,0.670082
977,0.329580,0.670420
978,0.329243,0.670757
979,0.328907,0.671093
980,0.329592,0.670408
981,0.329256,0.670744
982,0.329939,0.670061
983,0.329603,0.670397
984,0.330285,0.669715
985,0.330964,0.669036
986,0.330629,0.669371
987,0.331307,0.668693
988,0.331984,0.668016
989,0.332659,0.667341
990,0.332323,0.667677
991,0.331988,0.668012
992,0.331653,0.668347
993,0.332326,0.667674
994,0.332998,0.667002
995,0.332663,0.667337
996,0.332329,0.667671
997,0.331996,0.668004
998,0.331663,0.668337
999,0.331331,0.668669
1000,0.331000,0.669000
1001,0.330669,0.669331
1002,0.331337,0.668663
1003,0.332004,0.667996
1004,0.332669,0.667331
1005,0.332338,0.667662
1006,0.333002,0.666998
1007,0.333664,0.666336
1008,0.333333,0.666667
1009,0.333003,0.666997
1010,0.332673,0.667327
1011,0.332344,0.667656
1012,0.333004,0.666996
1013,0.333662,0.666338
1014,0.334320,0.665680
1015,0.333990,0.666010
1016,0.334646,0.665354
1017,0.335300,0.664700
1018,0.334971,0.665029
1019,0.334642,0.665358
1020,0.334314,0.665686
1021,0.334966,0.665034
1022,0.335616,0.664384
1023,0.336266,0.663734
1024,0.335938,0.664062
1025,0.335610,0.664390
1026,0.336257,0.663743
1027,0.335930,0.664070
1028,0.336576,0.663424
1029,0.336249,0.663751
1030,0.335922,0.664078
1031,0.335597,0.664403
1032,0.336240,0.663760
1033,0.335915,0.664085
1034,0.335590,0.664410
1035,0.335266,0.664734
1036,0.334942,0.665058
1037,0.335583,0.664417
1038,0.335260,0.664740
1039,0.334937,0.665063
1040,0.334615,0.665385
1041,0.335255,0.664745
1042,0.334933,0.665067
1043,0.334612,0.665388
1044,0.334291,0.665709
1045,0.334928,0.665072
1046,0.334608,0.665392
1047,0.335244,0.664756
1048,0.335878,0.664122
1049,0.335558,0.664442
1050,0.335238,0.664762
1051,0.334919,0.665081
1052,0.335551,0.664449
1053,0.335233,0.664767
1054,0.334915,0.665085
1055,0.334597,0.665403
1056,0.334280,0.665720
1057,0.334910,0.665090
1058,0.335539,0.664461
1059,0.336166,0.663834
1060,0.336792,0.663208
1061,0.336475,0.663525
1062,0.337100,0.662900
1063,0.336783,0.663217
1064,0.336466,0.663534
1065,0.336150,0.663850
1066,0.335835,0.664165
1067,0.336457,0.663543
1068,0.337079,0.662921
1069,0.337699,0.662301
1070,0.338318,0.661682
1071,0.338002,0.661998
1072,0.337687,0.662313
1073,0.337372,0.662628
